phoneId ;name;brand;price;review;rating;condition;imageUrl
1; iPhone 12       ; Apple     ; $799   ;Buen móvil ;4; Nuevo  ;https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/refurb-iphone-12-black-2020?wid=1144&hei=1144&fmt=jpeg&qlt=90&.v=1635202741000
2; Galaxy S21      ; Samsung   ; $999   ;Excelente  ;5; Nuevo  ;https://m.media-amazon.com/images/I/618nXc9a7gL._AC_UF894,1000_QL80_.jpg
3; Pixel 5         ; Google    ; $699   ;No me gustó;2; Nuevo  ;https://m.media-amazon.com/images/I/5185tHjaERL._AC_UF894,1000_QL80_.jpg
4; OnePlus 9 Pro   ; OnePlus   ; $969   ;Muy bueno  ;4; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/2021/9-series/spec-image/9-pro/Morning%20mist-gallery.png
5; Xperia 1 III    ; Sony      ; $1299  ;Me encanta ;5; Nuevo  ;https://www.sony.es/image/bec37fd1196426136aae242507e874b0?fmt=pjpeg&wid=330&bgcolor=FFFFFF&bgc=FFFFFF
6; Mi 11 Ultra     ; Xiaomi    ; $1199  ;Regular    ;3; Nuevo  ;https://i01.appmifile.com/v1/MI_18455B3E4DA706226CF7535A58E875F0267/pms_1620283511.58026918.png
7; Mate 40 Pro     ; Huawei    ; $899   ;No está mal;3; Nuevo  ;https://d2e6ccujb3mkqf.cloudfront.net/75fcd005-b40e-4962-bf9c-ca49ffa6da41-1_f9523809-c0d4-4756-a0ec-8a9f560c2a80.jpg
8; Velvet          ; LG        ; $699   ;Fantástico ;5; Nuevo  ;https://i.blogs.es/f197b0/lg-velvet-04/450_1000.jpg
9; Zenfone 8       ; Asus      ; $699   ;Podría mejorar;2; Nuevo  ;https://www.asusbymacman.es/9127-large_default/asus-zenfone-8-zs590ks-2a007eu-8gb-128gb-negro-smartphone.jpg
10; Moto G Power    ; Motorola  ; $249   ;Muy útil   ;4; Nuevo  ;https://i5.walmartimages.com/seo/Motorola-Moto-G-Power-2021-64GB-Flash-Gray-Unlocked_cac53b70-a61e-4fa8-a30a-d284944c186f.9058f1ca36b357b99b0b7c6d85529503.png
11; iPhone 11       ; Apple     ; $599   ;Bueno      ;4; Usado  ;https://storage.googleapis.com/catalog-pictures-carrefour-es/catalog/pictures/hd_510x_/0194252100776_1.jpg
12; Galaxy A52      ; Samsung   ; $349   ;Excelente  ;5; Nuevo  ;https://www.maxmovil.com/media/catalog/product/cache/2c055c968235f5bf43b443aee4bb62c6/3/0/30846_.jpg
13; Pixel 4a        ; Google    ; $349   ;No me gustó;2; Usado  ;https://m.media-amazon.com/images/I/7199N-Uz2AL._AC_UF894,1000_QL80_.jpg
14; Nord N10        ; OnePlus   ; $299   ;Muy bueno  ;4; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/billie/N10-Frame.png
15; Xperia 10 II    ; Sony      ; $349   ;Me encanta ;5; Usado  ;https://m.media-amazon.com/images/I/71EXKQEDbeL.jpg
16; Redmi Note 10   ; Xiaomi    ; $199   ;Regular    ;3; Nuevo  ;https://i01.appmifile.com/v1/MI_18455B3E4DA706226CF7535A58E875F0267/pms_1614762778.51454608.png
17; P40 Lite        ; Huawei    ; $249   ;No está mal;3; Nuevo  ;https://firstmarkt.es/wp-content/uploads/2021/08/huawei-p40-lite-128gb-4g-black-3-1.png
18; K92             ; LG        ; $399   ;Fantástico ;5; Nuevo  ;https://m.media-amazon.com/images/I/617eg68EN7L.jpg
19; Zenfone 7 Pro   ; Asus      ; $799   ;Podría mejorar;2; Nuevo  ;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvkoGi-am27687vAAnfPFGbsqyRoD60q2RSg&s
20; Moto E          ; Motorola  ; $149   ;Muy útil   ;4; Nuevo  ;https://www.notebookcheck.org/uploads/tx_nbc2/MotorolaMotoE2020__1_.JPG
21; iPhone SE       ; Apple     ; $399   ;Bueno      ;4; Usado  ;https://m.media-amazon.com/images/I/31eq5m7D5uL.jpg
22; Galaxy Note 20  ; Samsung   ; $999   ;Excelente  ;5; Nuevo  ;https://movilesquality.com/pics/contenido/samsung-galaxy-note-20-5g.jpg
23; Pixel 4 XL      ; Google    ; $499   ;No me gustó;2; Usado  ;https://storage.googleapis.com/catalog-pictures-carrefour-es/catalog/pictures/hd_510x_/0842776114709_1.jpg
24; Nord N100       ; OnePlus   ; $179   ;Muy bueno  ;4; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/billie/N100-Frame1.png
25; Xperia L4       ; Sony      ; $199   ;Me encanta ;5; Usado  ;https://www.sony.es/image/339852d04efc955c3ca4b8a8ed82c182?fmt=pjpeg&wid=330&bgcolor=FFFFFF&bgc=FFFFFF
26; Redmi 9         ; Xiaomi    ; $149   ;Regular    ;3; Nuevo  ;https://miberia.com/5247-full_default/xiaomi-redmi-9-version-global.jpg
27; P30 Lite        ; Huawei    ; $199   ;No está mal;3; Nuevo  ;https://m.media-amazon.com/images/I/616+kGLMqJL.jpg
28; K42             ; LG        ; $299   ;Fantástico ;5; Nuevo  ;https://storage.googleapis.com/catalog-pictures-carrefour-es/catalog/pictures/hd_510x_/8434844384293_1.jpg
29; Zenfone 6       ; Asus      ; $499   ;Podría mejorar;2; Nuevo  ;https://www.asus.com/media/global/gallery/3mCdQVCxXCZSoqNH_setting_xxx_0_90_end_2000.png
30; Moto G Stylus   ; Motorola  ; $299   ;Muy útil   ;4; Nuevo  ;https://cdn-files.kimovil.com/default/0005/60/thumb_459850_default_big.jpeg
31; iPhone XR       ; Apple     ; $499   ;Bueno      ;4; Usado  ;https://cdn.alloallo.media/catalog/product/apple/iphone/iphone-xr/iphone-xr-blue.jpg
32; Galaxy A32      ; Samsung   ; $279   ;Excelente  ;5; Nuevo  ;https://www.maxmovil.com/media/catalog/product/cache/2c055c968235f5bf43b443aee4bb62c6/3/0/30800_.jpg
33; Pixel 3a        ; Google    ; $399   ;No me gustó;2; Usado  ;https://ae01.alicdn.com/kf/H72102e00caea4c15a76a51f33d94ccfab/Google-Smartphone-Pixel-3a-XL-Original-6-0-Snapdragon-670-ocho-n-cleos-4GB-de-RAM.jpg
34; Nord N200       ; OnePlus   ; $239   ;Muy bueno  ;4; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/2021/n200/Render_31.png
35; Xperia 5 II     ; Sony      ; $799   ;Me encanta ;5; Nuevo  ;https://www.sony.es/image/7b32689c42298677055313ec98fd0253?fmt=png-alpha&wid=480
36; Redmi Note 9    ; Xiaomi    ; $179   ;Regular    ;3; Nuevo  ;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX3CjYYi2jUvfHt4VayiLb1_Cd6OXp5cZnMQ&s
37; P Smart 2021    ; Huawei    ; $179   ;No está mal;3; Nuevo  ;https://m.media-amazon.com/images/I/41VsQlyigGL.jpg
38; K71             ; LG        ; $349   ;Fantástico ;5; Nuevo  ;https://media.v2.siweb.es/uploaded_thumb_medium/c2a601e0a129e06a59aef4caa1813653/k71.jpg
39; Zenfone 5Z      ; Asus      ; $599   ;Podría mejorar;2; Nuevo  ;https://http2.mlstatic.com/D_NQ_NP_863451-MLA44155922684_112020-O.webp
40; Moto G Play     ; Motorola  ; $169   ;Muy útil   ;4; Nuevo  ;https://gagadget.com/media/uploads/moto-g-play-2023-1.jpg
41; iPhone 8        ; Apple     ; $349   ;Bueno      ;4; Usado  ;https://movilesquality.com/pics/contenido/4c16bdb377d116ece8b4b8f68ea35ce8_apple-iphone-8-256gb-negro.jpg
42; Galaxy M31      ; Samsung   ; $249   ;Excelente  ;5; Nuevo  ;https://d2e6ccujb3mkqf.cloudfront.net/d74a2398-39e5-4ed2-95d1-29bcac279910-1_e7d1c359-35eb-4746-ae7e-b8049535d2a7.jpg
43; Pixel 3         ; Google    ; $299   ;No me gustó;2; Usado  ;https://i.blogs.es/0145ec/google-pixel-3/1366_2000.jpg
44; Nord N10 5G     ; OnePlus   ; $299   ;Muy bueno  ;4; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/billie/N10-Frame.png
45; Xperia 10 Plus  ; Sony      ; $399   ;Me encanta ;5; Usado  ;https://m.media-amazon.com/images/I/81e8UT7yb9L.jpg
46; Redmi 9A        ; Xiaomi    ; $99    ;;; Nuevo  ;https://static.electrocosto.com/images/product/medium/59032_xiaomi-redmi-9a-negro.jpg
47; P40 Pro         ; Huawei    ; $699   ;;; Nuevo  ;https://ilikephone.es/wp-content/uploads/2023/11/HUAWEI-P40-PRO-AZUL.png
48; K31             ; LG        ; $249   ;;; Nuevo  ;https://static-geektopia.com/storage/t/i/762/76222/300x300/zoom-01.jpg
49; Zenfone 4 Max   ; Asus      ; $199   ;;; Nuevo  ;https://www.notebookcheck.org/uploads/tx_nbc2/AsusZenfone4MaxPro__3_.JPG
50; Moto E6         ; Motorola  ; $99    ;;; Nuevo  ;https://i.blogs.es/6ee700/motorola-moto-e6-plus-pantalla/650_1200.jpg
51; iPhone 12 Pro   ; Apple     ; $999   ;;; Nuevo  ;https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/refurb-iphone-12-pro-graphite-2020?wid=1144&hei=1144&fmt=jpeg&qlt=90&.v=1635202842000
52; Galaxy S20 FE   ; Samsung   ; $699   ;;; Nuevo  ;https://www.barcimaster.com/wp-content/uploads/2020/11/Samsung-Galaxy-S20-FE-1.jpg
53; Pixel 4a 5G     ; Google    ; $499   ;;; Nuevo  ;https://m.media-amazon.com/images/I/71C0OH4WfpL.jpg
54; Nord CE 5G      ; OnePlus   ; $329   ;;; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/2021/ebba/spec/Blue-Void.png
55; Xperia 1 II     ; Sony      ; $949   ;;; Nuevo  ;https://www.sony.es/image/93375262915162c04b81617da973a2c4?fmt=pjpeg&wid=330&bgcolor=FFFFFF&bgc=FFFFFF
56; Redmi Note 8    ; Xiaomi    ; $199   ;;; Nuevo  ;https://i01.appmifile.com/v1/MI_18455B3E4DA706226CF7535A58E875F0267/pms_1623307521.05815420.png
57; P Smart 2020    ; Huawei    ; $149   ;;; Nuevo  ;https://i.blogs.es/9251b9/huawei-p-smart-2020/original.jpeg
58; K61             ; LG        ; $399   ;;; Nuevo  ;https://thumbs.ielectro.es/product/med/23547-3.webp
59; Zenfone 3 Deluxe; Asus     ; $699   ;;; Nuevo  ;https://i.blogs.es/c7b9d2/asus-zenfone-3-deluxe-01/1366_2000.jpg
60; Moto G Fast     ; Motorola  ; $199   ;;; Nuevo  ;https://www.notebookcheck.org/uploads/tx_nbc2/MotorolaMotoGFast__1_.JPG
61; iPhone 11 Pro   ; Apple     ; $899   ;;; Usado  ;https://cf6.certideal.com/23220-thickbox_default/iphone-11-pro-max-64-gb-plata.jpg
62; Galaxy A12      ; Samsung   ; $179   ;;; Nuevo  ;https://www.hubside.store/media/catalog/product/c/a/capture_d_e_cran_2023-06-06_a_11.43.09_3.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=700&width=700&canvas=700:700&format=jpeg
63; Pixel 3 XL      ; Google    ; $399   ;;; Usado  ;https://storage.googleapis.com/catalog-pictures-carrefour-es/catalog/pictures/hd_510x_/0842776108654_1.jpg
64; Nord N1         ; OnePlus   ; $199   ;;; Nuevo  ;https://www.wimacpc.com/assets/images/products/SM2032/24-03-2022-10-25-01.png
65; Xperia 10       ; Sony      ; $299   ;;; Usado  ;https://i.blogs.es/e83f04/captura-de-pantalla-2022-05-10-a-las-16.52.04/1366_2000.jpeg
66; Redmi 8         ; Xiaomi    ; $129   ;;; Nuevo  ;https://www.notebookcheck.org/uploads/tx_nbc2/XiaomiRedmi8__1_.JPG
67; P Smart S       ; Huawei    ; $249   ;;; Nuevo  ;https://cdn-files.kimovil.com/default/0003/77/thumb_276678_default_big.jpeg
68; K51             ; LG        ; $299   ;;; Nuevo  ;https://wiemx.com/wp-content/uploads/2021/09/LG-K51-1.jpeg
69; Zenfone 2 Laser ; Asus     ; $299   ;;; Nuevo  ;https://www.maisbaratofone.com.br/wp-content/uploads/2023/07/Zenfone-2-Laser-Cinza1-600x600.jpg
70; Moto G Power 2021; Motorola ; $249   ;;; Nuevo  ;https://i5.walmartimages.com/seo/Motorola-Moto-G-Power-2021-64GB-Flash-Gray-Unlocked_cac53b70-a61e-4fa8-a30a-d284944c186f.9058f1ca36b357b99b0b7c6d85529503.png
71; iPhone XS       ; Apple     ; $699   ;;; Usado  ;https://cdn.idealo.com/folder/Product/6299/0/6299085/s11_produktbild_gross_5/apple-iphone-xs.jpg
72; Galaxy A02      ; Samsung   ; $129   ;;; Nuevo  ;https://www.movileo.com/70813-large_default/samsung-galaxy-a02-364gb-negro-nuevo.jpg
73; Pixel 4         ; Google    ; $499   ;;; Usado  ;https://www.backmarket.es/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D260/https://d2e6ccujb3mkqf.cloudfront.net/ad1f1f19-5c22-4135-af6b-1687709fd587-1_c34386ef-78e3-4a7a-ad98-64fbe6088cd2.jpg
74; Nord 2          ; OnePlus   ; $399   ;;; Nuevo  ;https://oasis.opstatics.com/content/dam/oasis/page/2021/ebba/spec/nord2_Blue_Haze.png
75; Xperia 5        ; Sony      ; $699   ;;; Nuevo  ;https://www.sony.es/image/dae23edc294287acc10c6b6125d5e2a3?fmt=pjpeg&wid=330&bgcolor=FFFFFF&bgc=FFFFFF
76; Redmi Note 7    ; Xiaomi    ; $149   ;;; Nuevo  ;https://m.media-amazon.com/images/I/81ClITpVLhL.jpg
