saleId;clientId;phoneId;review;rating;saleDate
1;1;45;Buen móvil ;4;01/01/2023
2;2;22;Excelente  ;5;02/01/2023
3;3;67;No me gustó;2;03/01/2023
4;4;89;Muy bueno  ;4;04/01/2023
5;5;33;Me encanta ;5;05/01/2023
6;6;77;Regular    ;3;06/01/2023
7;7;50;No está mal;3;07/01/2023
8;8;12;Fantástico ;5;08/01/2023
9;9;98;Podría mejorar;2;09/01/2023
10;10;71;Muy útil   ;4;10/01/2023
11;11;56;Bueno      ;4;11/01/2023
12;12;34;Excelente  ;5;12/01/2023
13;13;78;No me gustó;2;13/01/2023
14;14;91;Muy bueno  ;4;14/01/2023
15;15;46;Me encanta ;5;15/01/2023
16;16;23;Regular    ;3;16/01/2023
17;17;68;No está mal;3;17/01/2023
18;18;90;Fantástico ;5;18/01/2023
19;19;32;Podría mejorar;2;19/01/2023
20;20;76;Muy útil   ;4;20/01/2023
21;21;49;Bueno      ;4;21/01/2023
22;22;11;Excelente  ;5;22/01/2023
23;23;97;No me gustó;2;23/01/2023
24;24;70;Muy bueno  ;4;24/01/2023
25;25;55;Me encanta ;5;25/01/2023
26;26;35;Regular    ;3;26/01/2023
27;27;79;No está mal;3;27/01/2023
28;28;92;Fantástico ;5;28/01/2023
29;29;47;Podría mejorar;2;29/01/2023
30;30;24;Muy útil   ;4;30/01/2023
31;31;69;Bueno      ;4;31/01/2023
32;32;93;Excelente  ;5;01/02/2023
33;33;48;No me gustó;2;02/02/2023
34;34;13;Muy bueno  ;4;03/02/2023
35;35;99;Me encanta ;5;04/02/2023
36;36;72;Regular    ;3;05/02/2023
37;37;57;No está mal;3;06/02/2023
38;38;36;Fantástico ;5;07/02/2023
39;39;80;Podría mejorar;2;08/02/2023
40;40;94;Muy útil   ;4;09/02/2023
41;41;51;Bueno      ;4;10/02/2023
42;42;25;Excelente  ;5;11/02/2023
43;43;70;No me gustó;2;12/02/2023
44;44;14;Muy bueno  ;4;13/02/2023
45;45;100;Me encanta ;5;14/02/2023
